hs_section_name,date,year,month,weighted_share_rerouted
Chemicals,2014-12-01,2014,12,4.3442755035672045
Chemicals,2015-01-01,2015,1,4.744470429984751
Chemicals,2015-02-01,2015,2,3.723033952060035
Chemicals,2015-03-01,2015,3,7.00948649261166
Chemicals,2015-04-01,2015,4,5.790437881325712
Chemicals,2015-05-01,2015,5,2.834853761963097
Chemicals,2015-06-01,2015,6,2.864569446768524
Chemicals,2015-07-01,2015,7,7.7367832039364
Chemicals,2015-08-01,2015,8,4.92298898449702
Chemicals,2015-09-01,2015,9,4.094938372395485
Chemicals,2015-10-01,2015,10,3.3680077762259315
Chemicals,2015-11-01,2015,11,5.178820869326365
Chemicals,2015-12-01,2015,12,4.878607743906932
Chemicals,2016-01-01,2016,1,4.660883925451226
Chemicals,2016-02-01,2016,2,5.355510239597674
Chemicals,2016-03-01,2016,3,2.7897311377396607
Chemicals,2016-04-01,2016,4,3.221851779895145
Chemicals,2016-05-01,2016,5,3.814716738315599
Chemicals,2016-06-01,2016,6,3.912314851788808
Chemicals,2016-07-01,2016,7,4.571177808903917
Chemicals,2016-08-01,2016,8,7.424133559607103
Chemicals,2016-09-01,2016,9,4.30000175802714
Chemicals,2016-10-01,2016,10,3.3646509914863487
Chemicals,2016-11-01,2016,11,4.346413442334929
Chemicals,2016-12-01,2016,12,4.237227612913509
Chemicals,2017-01-01,2017,1,6.524564200975836
Chemicals,2017-02-01,2017,2,5.002629120083346
Chemicals,2017-03-01,2017,3,6.706150683941935
Chemicals,2017-04-01,2017,4,6.005617659464732
Chemicals,2017-05-01,2017,5,5.599856516129823
Chemicals,2017-06-01,2017,6,7.131314044347334
Chemicals,2017-07-01,2017,7,2.1841698166603165
Chemicals,2017-08-01,2017,8,3.8172458053824916
Chemicals,2017-09-01,2017,9,3.7673562286442723
Chemicals,2017-10-01,2017,10,4.507436369027697
Chemicals,2017-11-01,2017,11,5.50172975121483
Chemicals,2017-12-01,2017,12,3.1493304077155826
Chemicals,2018-01-01,2018,1,2.671701494243592
Chemicals,2018-02-01,2018,2,5.340131649726843
Chemicals,2018-03-01,2018,3,7.2689483440378035
Chemicals,2018-04-01,2018,4,4.846997356964347
Chemicals,2018-05-01,2018,5,4.118561660406718
Chemicals,2018-06-01,2018,6,6.443550663657151
Chemicals,2018-07-01,2018,7,3.674353635835957
Chemicals,2018-08-01,2018,8,4.938621195638754
Chemicals,2018-09-01,2018,9,5.101856832016155
Chemicals,2018-10-01,2018,10,5.554934070018009
Chemicals,2018-11-01,2018,11,7.529624062258195
Chemicals,2018-12-01,2018,12,4.333994821476088
Chemicals,2019-01-01,2019,1,4.0420349245319285
Chemicals,2019-02-01,2019,2,5.097483955543912
Chemicals,2019-03-01,2019,3,3.9154970152683206
Chemicals,2019-04-01,2019,4,5.6202318824006365
Fats and oils,2014-01-01,2014,1,0.0
Fats and oils,2014-02-01,2014,2,0.0
Fats and oils,2014-03-01,2014,3,0.0
Fats and oils,2014-04-01,2014,4,0.0
Fats and oils,2014-05-01,2014,5,0.0
Fats and oils,2014-06-01,2014,6,0.0
Fats and oils,2014-07-01,2014,7,0.0
Fats and oils,2014-08-01,2014,8,0.0
Fats and oils,2014-09-01,2014,9,0.0
Fats and oils,2014-10-01,2014,10,0.0
Fats and oils,2014-11-01,2014,11,0.0
Fats and oils,2014-12-01,2014,12,0.0
Fats and oils,2015-01-01,2015,1,0.0
Fats and oils,2015-02-01,2015,2,0.0
Fats and oils,2015-03-01,2015,3,0.0
Fats and oils,2015-04-01,2015,4,0.0
Fats and oils,2015-05-01,2015,5,0.0
Fats and oils,2015-06-01,2015,6,0.0
Fats and oils,2015-07-01,2015,7,0.0
Fats and oils,2015-08-01,2015,8,0.0
Fats and oils,2015-09-01,2015,9,0.0
Fats and oils,2015-10-01,2015,10,0.0
Fats and oils,2015-11-01,2015,11,0.0
Fats and oils,2015-12-01,2015,12,0.0
Fats and oils,2016-01-01,2016,1,0.0
Fats and oils,2016-02-01,2016,2,0.0
Fats and oils,2016-03-01,2016,3,0.0
Fats and oils,2016-04-01,2016,4,0.0
Fats and oils,2016-05-01,2016,5,0.0
Fats and oils,2016-06-01,2016,6,0.0
Fats and oils,2016-07-01,2016,7,0.0
Fats and oils,2016-08-01,2016,8,0.0
Fats and oils,2016-09-01,2016,9,0.0
Fats and oils,2016-10-01,2016,10,0.0
Fats and oils,2016-11-01,2016,11,0.0
Fats and oils,2016-12-01,2016,12,0.0
Fats and oils,2017-01-01,2017,1,0.0
Fats and oils,2017-02-01,2017,2,0.0
Fats and oils,2017-03-01,2017,3,0.0
Fats and oils,2017-04-01,2017,4,0.0
Fats and oils,2017-05-01,2017,5,0.0
Fats and oils,2017-06-01,2017,6,0.0
Fats and oils,2017-07-01,2017,7,0.0
Fats and oils,2017-08-01,2017,8,0.0
Fats and oils,2017-09-01,2017,9,0.0
Fats and oils,2017-10-01,2017,10,0.0
Fats and oils,2017-11-01,2017,11,0.0
Fats and oils,2017-12-01,2017,12,0.0
Fats and oils,2018-01-01,2018,1,0.0
Fats and oils,2018-02-01,2018,2,0.0
Fats and oils,2018-03-01,2018,3,0.0
Fats and oils,2018-04-01,2018,4,0.0
Fats and oils,2018-05-01,2018,5,0.0
Fats and oils,2018-06-01,2018,6,0.0
Fats and oils,2018-07-01,2018,7,0.0
Fats and oils,2018-08-01,2018,8,0.005934474383555874
Fats and oils,2018-09-01,2018,9,0.0
Fats and oils,2018-10-01,2018,10,0.011868948767111748
Fats and oils,2018-11-01,2018,11,0.005934474383555874
Fats and oils,2018-12-01,2018,12,0.003956316104782428
Fats and oils,2019-01-01,2019,1,0.0
Fats and oils,2019-02-01,2019,2,0.003956316104782428
Fats and oils,2019-03-01,2019,3,0.0
Fats and oils,2019-04-01,2019,4,0.0
Footwear and headwear,2014-01-01,2014,1,3.925662377005766
Footwear and headwear,2014-02-01,2014,2,2.886808442999924
Footwear and headwear,2014-03-01,2014,3,2.488272853445725
Footwear and headwear,2014-04-01,2014,4,2.6987461334434224
Footwear and headwear,2014-05-01,2014,5,1.5807452664458945
Footwear and headwear,2014-06-01,2014,6,1.0204055119810542
Footwear and headwear,2014-07-01,2014,7,4.376926233033209
Footwear and headwear,2014-08-01,2014,8,3.95078089048187
Footwear and headwear,2014-09-01,2014,9,8.8357051854446
Footwear and headwear,2014-10-01,2014,10,2.6283754335148033
Footwear and headwear,2014-11-01,2014,11,3.903811547346497
Footwear and headwear,2014-12-01,2014,12,3.6553481881045493
Footwear and headwear,2015-01-01,2015,1,6.869332161006967
Footwear and headwear,2015-02-01,2015,2,5.062363555464176
Footwear and headwear,2015-03-01,2015,3,6.965141845995219
