hs6,hs_section_name,weight_2014
252020,Mineral products,0.0007605308524865989
252210,Mineral products,0.00021256824922996105
252220,Mineral products,1.5414042720833102e-05
252321,Mineral products,0.010680788783271236
252329,Mineral products,0.0952604676516037
252330,Mineral products,0.0036652493178740315
252390,Mineral products,0.00036067206099504737
252610,Mineral products,0.0001407755260037117
252620,Mineral products,0.022170604768246126
252910,Mineral products,1.7403645016236778e-05
252921,Mineral products,0.00048761464136388267
252922,Mineral products,0.000860338432971238
253010,Mineral products,0.00666994571207231
253090,Mineral products,0.001163611377370874
260200,Mineral products,1.5218886385955602e-05
261310,Mineral products,0.005566963454025795
261400,Mineral products,0.0006277352359386834
261510,Mineral products,0.0015767474151030744
261590,Mineral products,0.000370294260624855
261710,Mineral products,0.0014349497991421232
261800,Mineral products,0.003107181585752127
262019,Mineral products,0.00012039326607972593
262030,Mineral products,3.9295885734656066e-05
262040,Mineral products,0.004981856646319887
270111,Mineral products,0.010704556509445172
270120,Mineral products,0.0011206356370167057
270220,Mineral products,6.585533981768812e-05
270600,Mineral products,7.108652191275198e-05
270810,Mineral products,0.00025673642786757576
271112,Mineral products,3.5888919210523425e-05
271210,Mineral products,5.52904358583875e-05
271220,Mineral products,0.2234996038624098
271290,Mineral products,0.0063485017282548855
271312,Mineral products,0.014634843014888054
271490,Mineral products,0.001607123994786931
271500,Mineral products,0.0006565902577573932
280110,Chemicals,2.8858399321662272e-06
280300,Chemicals,0.0033639584516562474
280429,Chemicals,0.000594401074549716
280461,Chemicals,0.00022545372025487364
280490,Chemicals,0.00036591514966335416
280519,Chemicals,0.0006654891441303045
280610,Chemicals,1.6929623180694057e-05
280700,Chemicals,0.00010828202887721968
280920,Chemicals,0.005897201996627637
281000,Chemicals,7.872932729268781e-05
281111,Chemicals,0.0006236084319744097
281119,Chemicals,0.005178758912105221
281121,Chemicals,6.947455023729992e-05
281122,Chemicals,0.006582385536773832
281129,Chemicals,0.00031544016171684055
281511,Chemicals,0.001108536364487427
281512,Chemicals,0.0031875763401720348
281520,Chemicals,0.0001848222632268886
281610,Chemicals,1.4504242128312141e-05
281700,Chemicals,0.0001098382565916523
281810,Chemicals,0.01071622103135455
281820,Chemicals,0.005546456904979707
281830,Chemicals,0.0018887944592341842
281910,Chemicals,0.0004275065205795083
282010,Chemicals,1.7964805320633905e-05
282090,Chemicals,3.151847409670433e-05
282110,Chemicals,0.0122163231450733
282300,Chemicals,0.004234162703027612
282410,Chemicals,1.661127730235749e-05
282490,Chemicals,1.2179201145763189e-05
282550,Chemicals,5.392747291287423e-06
